qt,PART,              DESCRIPTION,PART#,VNDR,VNDR#,COST,UNIT,VOLT,PHASE,AMPS,ASSEMBLY,TAGS,NOTES,LAST PRICE UPDATE,MANUAL Link
,ENC,LED Light 24VDC 15 Inch,LED24V15,KDL,,$171.89,ea.,24 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,"Hoffman Light, DOOR Switch, w/Lead 72in",LDSWITCH72,KDL,,$51.69,ea.,,,,ENCLOSURE,,,10/1/2023,
,ENC,Hoffman Touch-Up Paint Pen (Gray),ATPG20GLP,KDL,3326380,$8.72,ea.,,,,ENCLOSURE,,,2/19/2025,
,ENC,"Air Conditioner, 230V 2000BTU",N210226G050,KDL,,"$2,461.71",ea.,230 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,"Air Conditioner, 460V 4000BTU",N28044G050,KDL,,"$2,805.92",ea.,460 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,Hoffman IP54 4 Inch 115V Fan Unit TYPE 12,HF0416414,KDL,,$98.50,ea.,115 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,Hoffman IP54 4 Inch 230V Fan Unit TYPE 12,HF0426414,KDL,3606809,$104.86,ea.,230 VAC,,,ENCLOSURE,,,6/13/2025,
,ENC,Hoffman IP54 4 Inch Exhaust Grill Kit TYPE 12,HG0400404,KDL,3592878,$29.24,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,Hoffman IP54 5Inch 24VDC Fan Unit TYPE 12,HF0524414,KDL,3621894,$149.18,ea.,24 VAC,,,ENCLOSURE,,,6/13/2025,
,ENC,Hoffman IP54 5 Inch 115V Fan Unit TYPE 12,HF0516414,KDL,,$134.06,ea.,115 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,Hoffman IP54 5 Inch 230V Fan Unit TYPE 12,HF0526414,KDL,3613870,$146.26,ea.,230 VAC,,,ENCLOSURE,,,6/13/2025,
,ENC,Hoffman IP54 5 Inch Exhaust Grill Kit TYPE 12,HG0500404,KDL,3594483,$39.33,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,IP54 9Inch FF 24VDC Fan Unit TYPE 12,HF0924514,KDL,3781851,$204.17,ea.,24 VAC,,,ENCLOSURE,,,10/1/2023,
,ENC,IP54 9Inch FF 115V Fan Unit TYPE 12,HF0916414,KDL,3603136,$156.23,ea.,115 VAC,,,ENCLOSURE,,,6/13/2025,
,ENC,IP54 9Inch FF 230V Fan Unit TYPE 12,HF0926414,KDL,3621480,$162.88,ea.,230 VAC,,,ENCLOSURE,,,6/13/2025,
,ENC,Hoffman IP54 9In Exhaust Grill Kit TYPE 12,HG0900404,KDL,3603138,$47.48,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,15.75x23.62x7.09 Hoffman Type 4X ABS Enclosure,Q604018ABI,KDL,2034391,$201.60,ea.,,,,ENCLOSURE,,,6/13/2025,
,PAN,Sub Panel/Back Plate for Q604018ABI,Q6040PI,KDL,2137564,$42.18,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,Attabox 8X6X4 Heartland Series w/ Clear Cover,AH864C,GLA,2734392,$103.74,ea.,,,,ENCLOSURE,,,1/22/2024,
,ENC,Aluminum Back Plate for 8x6 Attabox,BP86A,GLA,3251124,$16.61,ea.,,,,ENCLOSURE,,,1/22/2024,
,ENC,Attabox 10x10x06 Heartland Series w/ Clear Cover,AH10106C,GLA,4149772,$95.61,ea.,,,,ENCLOSURE,,,1/23/2024,
,ENC,Aluminum Back Plate for 10x10,BP1010A,GLA,3870207,$17.66,ea.,,,,ENCLOSURE,,,1/23/2024,
