VENDORCODE,PART ABBREV.,Vendor Part Code,Manufacturer PART NUMBER,PART DESCRIPTION & DETAILS,COST,Unit/Qty,SUB CATEGORY,LAST PRICE UPDATE,SHELF QTY,Notes,ORDER QTY (MATT),TOTAL COST (MATT),ADD TO ORDER (MATT)
GRY,FEST,174308,B-M5-B,Blanking Plug (To plug either the 'A' port or 'B' port),,,BLANKING PLUG,,,,,$0.00,
NEFF,PNU,,45A-AA1-DAAJ-1KJ,Four Way 120VAC Valve Single,$35.10,ea.,4-Way Valve (NEFF),03/08/22,,,,$0.00,
NEFF,PNU,,45A-AA1-DDAJ-1KJ,Four Way 24VDC Valve Single,$35.10,ea.,,03/08/22,,,,$0.00,
NEFF,PNU,,E-45007-DA1K,Cable,$16.75,ea.,,03/08/22,,,,$0.00,
NEFF,PNU,,3175 56 11,"1/8"" Fittings (NEED THREE)",$2.60,ea.,,03/08/22,,,,$0.00,
NEFF,PNU,,P18,"1/8"" Muffler",$1.66,ea.,,03/08/22,,,,$0.00,
NEFF,PNU,Q18C9325,45 Series 4 Gang Manifold,4 Gang Manifold w/Valves & Fittings,$371.67,ea.,4-Station Valves (NEFF),06/01/22,,,,$0.00,
NEFF,PNU,18Q0004744,45 Series 8 Gang Manifold,8 Gang Manifold w/Valves & Fittings,$726.60,ea,8-Station Valves (NEFF),06/09/22,,,,$0.00,
GLA,PEPP,4424498,7500-MTD-BXRW-01,Purge & Pressurization Control Unit,"$1,644.15",ea.,C1D2 Pressurization Unit,02/12/25,,NEW!!!,,$0.00,
GLA,PEPP,4654752,EPV-7500-AA-01,Purge & Pressurization Vent (Enclosure Vent),$459.88,ea.,,02/12/25,,,,$0.00,
AMZ,PEPP,‎BXG PL3/8-N4,‎BXG PL3/8-N4 2,"3/8""OD PTC to 1/2"" NPT Elbow (NEED TWO)",$17.99,qty2,,02/12/25,,,,$0.00,
AMZ,PEPP,‎BXG PC3/8-N3,‎BXG PC3/8-N3,"3/8"" OD PTC to 3/8"" NPT Straight (NEED ONE)",$12.99,qty2,,02/12/25,,,,$0.00,
AMZ,PEPP,B0BLBRCWJ1,B0BLBRCWJ1,"3/8"" NPT Hex Nut (NEED ONE)",$7.99,qty25,,02/12/25,,,,$0.00,
