VENDORCODE,PART ABBREV.,Vendor Part Code,Manufacturer PART NUMBER,PART DESCRIPTION & DETAILS,COST,Unit/Qty,SUB CATEGORY,LAST PRICE UPDATE,SHELF QTY,Notes,ORDER QTY (MATT),TOTAL COST (MATT),ADD TO ORDER (MATT)
KDL,ENC,,N28044G050,"Air Conditioner, 460V 4000BTU","$2,805.92",ea.,"HOFFMAN 
ACCESSORIES",10/01/23,,,,$0.00,
KDL,ENC,,HF0416414,Hoffman IP54 4 Inch 115V Fan Unit TYPE 12,$98.50,ea.,"HOFFMAN 
ACCESSORIES",10/01/23,,,1,$98.50,
KDL,ENC,3606809,HF0426414,Hoffman IP54 4 Inch 230V Fan Unit TYPE 12,$104.86,ea.,"HOFFMAN 
ACCESSORIES",06/13/25,,,,$0.00,
KDL,ENC,3592878,HG0400404,Hoffman IP54 4 Inch Exhaust Grill Kit TYPE 12,$29.24,ea.,"HOFFMAN 
ACCESSORIES",06/13/25,,,1,$29.24,
KDL,ENC,3621894,HF0524414,Hoffman IP54 5Inch 24VDC Fan Unit TYPE 12,$156.74,ea.,"HOFFMAN 
ACCESSORIES",10/01/25,,,,$0.00,
KDL,ENC,,HF0516414,Hoffman IP54 5 Inch 115V Fan Unit TYPE 12,$134.06,ea.,"HOFFMAN 
ACCESSORIES",10/01/23,,,,$0.00,
KDL,ENC,3613870,HF0526414,Hoffman IP54 5 Inch 230V Fan Unit TYPE 12,$154.01,ea.,"HOFFMAN 
ACCESSORIES",10/01/25,,,,$0.00,
KDL,ENC,3594483,HG0500404,Hoffman IP54 5 Inch Exhaust Grill Kit TYPE 12,$41.33,ea.,"HOFFMAN 
ACCESSORIES",10/01/25,,,,$0.00,
KDL,ENC,3781851,HF0924514,IP54 9Inch FF 24VDC Fan Unit TYPE 12,$204.17,ea.,"HOFFMAN 
ACCESSORIES",10/01/23,,,,$0.00,
KDL,ENC,3603136,HF0916414,IP54 9Inch FF 115V Fan Unit TYPE 12,$156.23,ea.,"HOFFMAN 
ACCESSORIES",06/13/25,,,,$0.00,
KDL,ENC,3621480,HF0926414,IP54 9Inch FF 230V Fan Unit TYPE 12,$162.88,ea.,"HOFFMAN 
ACCESSORIES",06/13/25,,,,$0.00,
KDL,ENC,3603138,HG0900404,Hoffman IP54 9In Exhaust Grill Kit TYPE 12,$49.86,ea.,"HOFFMAN 
ACCESSORIES",10/01/25,,,,$0.00,
KDL,ENC,2034391,Q604018ABI,15.75x23.62x7.09 Hoffman Type 4X ABS Enclosure,$201.60,ea.,HOFFMAN GREY TYPE 4X,10/01/25,,,,$0.00,
KDL,PAN,2137564,Q6040PI,Sub Panel/Back Plate for Q604018ABI,$42.18,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
GLA,ENC,2734392,AH864C,Attabox 8X6X4 Heartland Series w/ Clear Cover,$103.74,ea.,ATTABOX ENCLOSURES,01/22/24,,,,$0.00,
GLA,ENC,3251124,BP86A,Aluminum Back Plate for 8x6 Attabox,$16.61,ea.,ATTABOX ENCLOSURES,01/22/24,,,,$0.00,
GLA,ENC,4149772,AH10106C,Attabox 10x10x06 Heartland Series w/ Clear Cover,$95.61,ea.,ATTABOX ENCLOSURES,01/23/24,,,,$0.00,
GLA,ENC,3870207,BP1010A,Aluminum Back Plate for 10x10,$17.66,ea.,ATTABOX ENCLOSURES,01/23/24,,,,$0.00,
GLA,ENC,3744613,1554P2GY,HAMMOND N4X POLYCARBONATE ENCL - 4.7 X 4.7 X 3.15,$39.18,ea.,"HAMMOND
ENCLOSURES",01/23/24,,,,$0.00,
GLA,ENC,3810003,MOD STC,"C11345M Custom Cut 1554PGY, Quote MODQU18000908-C (qty based on 30)",$22.59,ea.,"HAMMOND
ENCLOSURES",05/12/25,,PRICE BREAK STARTS AT (50)PC -> $22.20 PER,,$0.00,
GLA,PAN,,ABP86A,Back Plate for 1554P2GY,,ea.,"HAMMOND
ENCLOSURES",,,,,$0.00,
DGK,ENC,,RB55P14B28B,SERPAC RB55  (4.72HX4.72WX4.13H) Black PolyCarb NEMA4X,$36.97,ea.,SERPAC ENC.,10/10/25,,,,$0.00,
GLA,DIS,4188549,GLAS-R4-30-CC-KIT,"30AMP CLASS CC COMPACT FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS AND SHROUDS",$175.91,ea.,"EATON FUSED 
DISCONNECT KITS",05/21/25,,27 IN-LB,,$0.00,
GLA,DIS,4188553,GLAS-R9-30-J-KIT,"30AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",$206.80,ea.,"EATON FUSED 
DISCONNECT KITS",05/21/25,,,,$0.00,
GLA,DIS,4188551,GLAS-R9-60-J-KIT,"60AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",$227.09,ea.,"EATON FUSED 
DISCONNECT KITS",05/21/25,,31.0 IN-LB,,$0.00,
GLA,DIS,2826903,SHR00N4X,"CH Selector Handle, Red",$16.12,ea.,,05/21/25,,,,$0.00,
GLA,DIS,3704158,SHR0N4X,"CH Selector Handle, Red",$38.63,ea.,,05/21/25,,,,$0.00,
GLA,DIS,4188552,GLAS-R9-100-J-KIT,"100AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",$345.75,ea.,"EATON FUSED 
DISCONNECT KITS",05/21/25,,35.4 IN-LB,,$0.00,
GLA,DIS,4312467,GLAS-R9-200-J-KIT,"200AMP CLASS J FUSED DISCONNECT UL98, PISTOL HANDLE RED/YELLOW NEM4X, 400MM SHAFT INTERNAL LUGS AND SHROUDS",$821.03,ea.,"EATON FUSED 
DISCONNECT KITS",05/21/25,,"Term. Torque 159 IN-LB, Lug Bolt Torque?",,$0.00,
GLA,DIS,2833858,SF400PH10X10,"Shaft, 15.7"", Use w/ Size 1 or 2 Pistol Handle, 10X10",$10.33,ea.,"EATON 60A J Disconnect
Kit Breakdown",04/23/25,,,,$0.00,
GLA,DIS,2839346,PHR1N4XF,"Pistol Handle, Red, Size 1, EMA 4/4X, for Front Operation",$46.97,ea.,"EATON 60A J Disconnect
Kit Breakdown",05/21/25,,,,$0.00,
GLA,DIS,2839341,R9J3060FJ,"R9J3060FJ CH UL98, J-Frame, 60A, J-Fusible Rotary, 100kAIC",$168.97,ea.,"EATON 60A J Disconnect
Kit Breakdown",05/21/25,,,,$0.00,
GLA,DIS,2815353,TS3R9DT,"Terminal Shroud, 3 Pole (use with R9 D-Frames) TOP ONLY",$24.43,ea.,,05/21/25,,,,$0.00,
GLA,DIS,2815354,TS3R9DB,"Terminal Shroud, 3 Pole (use with R9 D-Frames) BOTTOM ONLY",$31.24,ea.,,05/21/25,,,,$0.00,
GLA,DIS,2929289,SHB00N4X,"CH Selector Handle, Black",$16.12,ea.,,05/21/25,,,,$0.00,
KDL,DIS,,194R-C30-1753-PYS1,3P/30A/600V Disconnect CC Fuse (wShaft and Handle),$132.43,ea.,AB FUSED DISCONNECT KITS,10/01/23,,,,$0.00,
KDL,DIS,,194R-J30-1753-PYS1,3P/30A/600V Disconnect J Fuse (wShaft and Handle),$139.40,ea.,AB FUSED DISCONNECT KITS,10/01/23,,,,$0.00,
KDL,DIS,2967019,194R-J60-1753-PYS1,3P/60A/600V Disconnect J Fuse (wShaft and Handle),$227.85,ea.,AB FUSED DISCONNECT KITS,06/14/24,,,,$0.00,
KDL,DIS,2900864,194R-J100-1753,3P/100A/600V Disconnect J Fuse (NO SHAFT AND HANDLE),$306.84,ea.,AB FUSED DISCONNET,10/01/23,,,,$0.00,
KDL,DIS,2907068,194R-J200-1753,3P/200A/600V Disconnect J Fuse (NO SHAFT AND HANDLE),$533.33,ea.,AB FUSED DISCONNET,10/01/23,,,,$0.00,
KDL,DIS,2897165,194R-R7,AB Operating Shaft,$29.62,ea.,AB DISCONNECT PARTS,10/01/23,,,,$0.00,
KDL,DIS,2903112,194R-PY,AB Rotary Door Handle Red/Yellow,$31.12,ea.,AB DISCONNECT PARTS,10/01/23,,,,$0.00,
KDL,DIS,3577,194R-HM4E,AB Rotary Door Handle Red/Yellow (Heavy Duty),$112.10,ea.,AB DISCONNECT PARTS,06/14/24,,,,$0.00,
KDL,DIS,2016271,DG221NGB,CH Safety Switch Fusible,$68.91,ea.,"CLASS R DISCONNECT
(For Independent FS Power)",06/13/25,,,,$0.00,
KDL,FUS,21714,FRNR8,BUS FUSE 250V TK8R,$13.25,ea.,"CLASS R DISCONNECT
(For Independent FS Power)",06/13/25,2,,,$0.00,
GLA,DIS,2915865,OS60GJ12,ABB 3 POLE 60A CLASS J FUSIBLE DISCONNECT,$231.75,ea.,,10/17/24,,,,$0.00,
GLA,GND,38927,ADR21ITB,2/0AWG AL 1HOLE LUG LAMLA2/0-14Q,$1.82,ea.,GND LUG,06/17/25,,,1,$1.82,
GLA,DIS,4194055,GLAS-R9-30-NF-KIT,"30AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",$104.42,ea.,"EATON NON-FUSED 
DISCONNECT KITS",05/21/25,,35.4 IN-LB,,$0.00,
GLA,DIS,4194057,GLAS-R9-60-NF-KIT,"60AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",$115.26,ea.,"EATON NON-FUSED 
DISCONNECT KITS",05/21/25,,35.4 IN-LB,,$0.00,
GLA,DIS,2822187,R9C3060U,UL98 C-FRAME 3-POLE 60 AMP NON-FUSED DISCONNECT,$95.04,ea.,,05/21/25,,,,$0.00,
GLA,DIS,2828067,SF320SH5X5,Shaft for use with Handle & Disconnect Above,$4.10,ea.,,05/21/25,,,,$0.00,
GLA,DIS,4565343,GLAS-R9-100-NF-KIT,"100AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",$149.73,ea.,"EATON NON-FUSED 
DISCONNECT KITS",06/17/25,,35.4 IN-LB,,$0.00,
GLA,DIS,4312464,GLAS-R9-200-NF-KIT,"200AMP NON-FUSED Disconnect Kit, Shaft, Handle, Lugs, Shrouds",$396.40,ea.,"EATON NON-FUSED 
DISCONNECT KITS",05/21/25,,"160# Bolt Torque, 275# Pressure Screw Torque",,$0.00,
GLA,DIS,2812812,R9D3200U,UL98 D-FRAME 3-POLE 200AMP NON-FUSED DISCONNECT,$268.91,ea.,,05/21/25,,,,$0.00,
GLA,DIS,2815352,PNR2N12F,"Pistol Handle, Size 2 for 200A Non-Fused Disconnect Above",$38.38,ea.,EATON NON-FUSED,05/21/25,,,,$0.00,
GLA,DIS,2833858,SF400PH10X10,Shaft for use with Handle & Disconnect Above,$11.15,ea.,EATON NON-FUSED,05/21/25,,,,$0.00,
GLA,DIS,2918650,DHR9,Direct Handle for R9 (30-100A) C-FrameNF Disconnects,$6.56,ea.,,05/21/25,4,,,$0.00,
GLA,DIS,3613536,DHR9DE,Direct Handle for R9 (100-400A) D-Frame NF Disconnects (Internal),$41.13,ea.,,05/21/25,1,,,$0.00,
GLA,DIS,2822201,R9C310OU,100AMP NON-FUSED DISCONNECT UL98,$107.00,,"EATON NON-FUSED 
DISCONNECTS",05/21/25,,,,$0.00,
GLA,DIS,2879543,R9E3400U,400AMP NON-FUSED Disconnect (NOT A KIT),$460.09,ea.,EATON NON-FUSED DISCONNECTS,01/22/24,,,,$0.00,
GLA,DIS,3650548,PHR2N4XF,"Pistol Handle, Size 2 for 400A Non-Fused Disconnect Above",$70.87,ea.,EATON NON-FUSED DISCONNECT PARTS,05/21/25,,RED HANDLE,,$0.00,
GLA,DIS,3467127,PHB2N4XF,Handle for 400A Non-Fused Disconnect Above,$63.45,ea.,EATON NON-FUSED DISCONNECT PARTS,01/22/24,,BLACK HANDLE,,$0.00,
GLA,DIS,2812821,SF320PH10X10,Shaft for use with Handle & Disconnect Above,$20.43,ea.,EATON NON-FUSED DISCONNECT PARTS,05/21/25,,,,$0.00,
GLA,DIS,2879551,TS3R9ET,"Line Side Terminal Shroud, 3 Pole",$57.87,ea.,EATON NON-FUSED DISCONNECT PARTS,01/22/24,,,,$0.00,
GLA,DIS,2879552,TS3R9EB,"Load Side Terminal Shroud, 3 Pole",$57.87,ea.,EATON NON-FUSED DISCONNECT PARTS,01/22/24,,,,$0.00,
GLA,DIS,2812822,LK3R9DL,Terminal Lugs for 100-200A Non-Fused Disconnect (Qty. 3),$11.15,ea.,EATON NON-FUSED DISCONNECT PARTS,05/21/25,,,,$0.00,
GLA,DIS,2879548,LK3R9EM,Terminal Lugs for 400A Non-Fused Disconnect Above (Qty. 3),$49.54,ea.,EATON NON-FUSED DISCONNECT PARTS,01/22/24,,"310# Bolt Torque, 550# Pressure Screw Torque",,$0.00,
KDL,DIS,2926763,194R-NU200-1753,200 AMP NON-FUSED DISCONNECT NEMA 3,$533.92,ea.,"AB NON-FUSED 
DISCONNECTS",10/01/23,,,,$0.00,
GLA,FSH,4347803,E92/30SCC,"CLASS CC 2POLE FUSE HOLDER, INDICATING FLIP STYLE, 30AMP, DIN MOUNT",$13.35,ea.,CLASS CC FUSEHOLDERS,08/09/24,,,,$0.00,
GLA,FSH,4347574,E91/30SCC,"CLASS CC 1POLE FUSE HOLDER, INDICATING FLIP STYLE, 30AMP, DIN MOUNT",$12.09,ea.,,07/29/25,,,,$0.00,
GLA,FSH,4347804,E93/30SCC,CLASS CC 3POLE FUSE HOLDER INDICATING FLIP STYLE 30AMP DIN MOUNT,$19.58,ea.,,07/29/25,,,1,$19.58,
GLA,FSH,3354096,E93/30CC,**NON-INDICATING** CLASS CC 3POLE FUSE HOLDER FLIP STYLE 30AMP DIN MOUNT,$17.98,ea.,,06/20/25,,STOCK AT GLA,,$0.00,
GLA,FSH,133903,LPSC003ID,"Littlefuse Fuse Holder 600V, 30A, 3Pole WITH INDICATOR",$46.59,ea.,,06/20/25,,STOCK AT GLA,,$0.00,
GLA,FSH,2619759,LPSC003,"Littlefuse Fuse Holder 600V, 30A, 3Pole WITHOUT INDICATOR",$49.73,ea.,,06/20/25,,STOCK AT FACTORY (5-7 DAY LEAD),,$0.00,
KDL,FUS,22685,LP-CC-1/2,0.5A CLASS CC Time Delay Fuse,$14.58,ea.,CLASS CC FUSES,10/01/25,3,,,$0.00,
KDL,FUS,22705,LP-CC-6/10,0.6A CLASS CC Time Delay Fuse,$14.58,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22709,LP-CC-8/10,0.8A CLASS CC Time Delay Fuse,$14.58,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22678,LP-CC-1,1.0A CLASS CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22681,LP-CC-1-1/8,1.125A CLASS CC Time Delay Fuse,$12.86,ea.,,06/14/24,,,,$0.00,
KDL,FUS,22680,LP-CC-1-1/4,1.25A CLASS CC Time Delay Fuse,$12.86,ea.,,06/14/24,,,,$0.00,
KDL,FUS,22682,LP-CC-1-4/10,1.4A CLASS CC Time Delay Fuse,$7.82,ea.,,10/01/23,,,,$0.00,
KDL,FUS,22679,LP-CC-1-1/2,1.5A CLASS CC Time Delay Fuse,$14.58,ea.,,06/13/25,3,,,$0.00,
KDL,FUS,22683,LP-CC-1-6/10,1.6A CLASS CC Time Delay Fuse,$14.58,ea.,,10/01/25,3,,,$0.00,
KDL,FUS,22684,LP-CC-1-8/10,1.8A CLASS CC Time Delay Fuse,$14.58,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22689,LP-CC-2,2A CLASS CC Time Delay Fuse,$14.00,ea.,,10/01/25,1,,,$0.00,
KDL,FUS,22691,LP-CC-2-1/4,2.25A CLASS CC Time Delay Fuse,$14.58,ea.,,10/01/25,2,,,$0.00,
KDL,FUS,22690,LP-CC-2-1/2,2.5A CLASS CC Time Delay Fuse,$12.86,ea.,,06/14/24,,,,$0.00,
KDL,FUS,22692,LP-CC-2-8/10,2.8A CLASS CC Time Delay Fuse,$7.82,ea.,,10/01/23,,,,$0.00,
KDL,FUS,22695,LP-CC-3,3A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22697,LP-CC-3-2/10,3.2A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,1,,,$0.00,
KDL,FUS,22696,LP-CC-3-1/2,3.5A CLASS CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22699,LP-CC-4,4A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22700,LP-CC-4-1/2,4.5A Class CC Time Delay Fuse,$7.82,ea.,,10/01/23,,,,$0.00,
KDL,FUS,22701,LP-CC-5,5A Class CC Time Delay Fuse,$12.35,ea.,,06/14/24,,,,$0.00,
KDL,FUS,22702,LP-CC-5-6/10,5.6A Class CC Time Delay Fuse,$7.82,ea.,,10/01/23,,,,$0.00,
KDL,FUS,22703,LP-CC-6,6A Class CC Time Delay Fuse,$14.00,ea.,,06/13/25,5,,,$0.00,
KDL,FUS,22704,LP-CC-6-1/4,6.25A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,1,,,$0.00,
KDL,FUS,22706,LP-CC-7,7A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22707,LP-CC-7-1/2,7.5A Class CC Time Delay Fuse,$7.82,ea.,,10/01/23,,,,$0.00,
KDL,FUS,22708,LP-CC-8,8A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22710,LP-CC-9,9A Class CC Time Delay Fuse,$14.00,ea.,,06/13/25,8,,,$0.00,
KDL,FUS,22686,LP-CC-10,10A Class CC Time Delay Fuse,$12.35,ea.,,06/14/24,5,,,$0.00,
KDL,FUS,22687,LP-CC-12,12A Class CC Time Delay Fuse,$14.00,ea.,,06/13/25,3,,,$0.00,
KDL,FUS,22688,LP-CC-15,15A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22693,LP-CC-20,20A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22694,LP-CC-25,25A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,1,,,$0.00,
KDL,FUS,22698,LP-CC-30,30A Class CC Time Delay Fuse,$14.00,ea.,,10/01/25,,,,$0.00,
GLA,FSH,4346637,E92/30JS,Class J 2P 30A w/ BFI,$146.01,ea.,CLASS J FUSEHOLDERS,01/23/24,,,,$0.00,
GLA,FSH,4347808,E93/30JS,Class J 3P 30A w/ BFI,$184.51,ea.,,01/23/24,,,,$0.00,
GLA,FSH,2918013,LFJ60060-1CID,Class J 1P 60A w/ Indicator,$14.50,ea.,,01/22/24,,,,$0.00,
GLA,FSH,2962795,LFJ60060FBC,Fuse Block Cover (for above Class J Holder),$6.35,ea.,,01/22/24,,,,$0.00,
GLA,FSH,4347806,E92/60JS,Class J 2P 60A w/ BFI,$127.70,ea.,,01/23/24,,,,$0.00,
GLA,FSH,4347807,E93/60JS,Class J 3P 60A w/ BFI,$191.54,ea.,,01/23/24,,,,$0.00,
KDL,FSH,2173,1492-FB3J60-L,Class J 3P 60A w/ BFI,$149.97,ea.,,,,,,$0.00,
KDL,FSH,3444308,JM60060-3CR,Class J 3P 60A Bussmann,$115.70,,,10/01/25,,,,$0.00,
KDL,FUS,,,10A Class J Time Delay Fuses,,ea.,CLASS J FUSES,,,,,$0.00,
KDL,FUS,,,20A Class J Time Delay Fuses,,ea.,,,,,,$0.00,
KDL,FUS,,,25A Class J Time Delay Fuses,,ea.,,,,,,$0.00,
KDL,FUS,22736,LPJ-30SP LOW PEAK,30A Class J Time Delay Fuses,$24.98,ea.,,06/13/25,,,1,$24.98,
KDL,FUS,22738,LPJ-35SP LOW PEAK,35A Class J Time Delay Fuses,$39.03,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22742,LPJ-40SP LOW PEAK,40A Class J Time Delay Fuses,$37.99,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22744,LPJ-45SP LOW PEAK,45A Class J Time Delay Fuses,$38.71,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22748,LPJ-50SP LOW PEAK,50A Class J Time Delay Fuses,$37.74,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22751,LPJ-60SP LOW PEAK,60A Class J Time Delay Fuses,$38.36,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22754,LPJ-70SP LOW PEAK,70A Class J Time Delay Fuses,$67.74,ea.,,10/01/25,1,,,$0.00,
KDL,FUS,22756,LPJ-80SP LOW PEAK,80A Class J Time Delay Fuses,$67.75,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22758,LPJ-90SP LOW PEAK,90A Class J Time Delay Fuses,$69.99,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22716,LPJ-100SP LOW PEAK,100A Class J Time Delay Fuses,$67.95,ea.,,10/01/25,,,,$0.00,
KDL,FUS,22717,LPJ-110SP LOW PEAK,110A Class J Time Delay Fuses,$138.61,ea.,4.5-5.4NM Install Torque,06/13/25,3,,,$0.00,
KDL,FUS,22719,LP-125SP LOW PEAK,125A Class J Time Delay Fuses,$136.53,ea.,4.5-5.4NM Install Torque,10/01/25,,,,$0.00,
KDL,FUS,22721,LPJ-150SP LOW PEAK,150A Class J Time Delay Fuses,$138.54,ea.,4.5-5.4NM Install Torque,06/13/25,3,,,$0.00,
KDL,FUS,22723,LPJ-175SP LOW PEAK,175A Class J Time Delay Fuses,$138.67,ea.,4.5-5.4NM Install Torque,10/01/25,,,,$0.00,
KDL,FUS,22729,LPJ-200SP LOW PEAK,200A Class J Time Delay Fuses,$135.90,ea.,4.5-5.4NM Install Torque,10/01/25,,,,$0.00,
KDL,FSH,2302,1492-H5,AB Fusible Term Block (w/ LED),$12.35,ea.,Type AGC' FUSEHOLDER,10/01/25,,,,$0.00,
KDL,FSH,2303,1492-H6,AB Fusible SW Term Block (uL Listed Fuseholder),$7.87,ea.,Type AGC' FUSEHOLDER,10/01/25,,#30 - #12 AWG CAPACITY,,$0.00,
KDL,FSH,2418,1492-N37,AB Hi-Density End Section (for fuseholders above),$0.89,ea.,,10/01/25,,,,$0.00,
ARW,FSH,,BK-HTB-34M-R,Eaton Fuseholder 16A **USED FOR Coolness/STCs; use Arrow.com if Digikey is out of stock***,$2.10,ea.,,,,,,$0.00,
KDL,FUS,2652141,AGC-1-R,1A 'Type AGC' Glass Fuse uL Listed,$0.57,ea.,Type AGC' FUSES,10/01/25,,,,$0.00,
KDL,FUS,2689611,AGC-2-R,2A 'Type AGC' Glass Fuse uL Listed,$0.25,ea.,,10/01/23,,,,$0.00,
KDL,FUS,,AGC-3-R,3A 'Type AGC' Glass Fuse uL Listed,$0.28,ea.,,10/01/23,,,,$0.00,
KDL,FUS,2713943,MDL-4-R,Slow Blow 4A Small dimension Fuse,$1.39,ea.,,10/01/25,9,,,$0.00,
KDL,FUS,2725149,AGC-4-R,4A 'Type AGC' Glass Fuse uL Listed,$0.60,ea.,,10/01/23,4,,,$0.00,
KDL,FUS,,GMC-4-R,4A *?* Fuse,,ea.,,,5,,,$0.00,
MCM,FUS,7085K44,7085K44,"4A Glass Tube Fuse, Time Delay, 1/4"" DIA, Size 3AG",$2.00,ea.,GLASS TUBE FUSE FOR STC's (uL),,,,,$0.00,
MCM,FUS,71385K522,71385K522,"4A Glass Tube Fuse, Time Delay, 1/4"" DIA Size 3AB",$2.52,ea.,GLASS TUBE FUSE FOR STC's (CE),,,,,$0.00,
DGK,FSH,,BK/HTB-34M-R‎,FUSE HLDR CART 250V 16A PNL MNT (CE Listed),$3.10,ea.,FUSEHOLDER FOR STC's (CE),,,,,$0.00,
GLA,MCCB,4189019,PDG23F0060E3RJ,60A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,$417.40,ea.,"E-TRIP MAIN CIRCUIT BREAKER
(MCCB)
FR 2^^
FR 3 BELOW",05/21/25,1,,,$0.00,
GLA,MCCB,4189020,PDG23F0100E3RJ,100A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,$435.04,ea.,,05/21/25,,,,$0.00,
GLA,MCCB,4182226,PDG23F0150E3RJ,150A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,$516.39,ea.,,05/21/25,,,1,$516.39,
GLA,MCCB,4182231,PDG23F0225E3RJ,225A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,$571.23,ea.,,05/21/25,,,,$0.00,
GLA,MCCB,4182234,PDG33F0250E3RJ,250A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,$508.22,ea.,,01/22/24,,,,$0.00,
GLA,MCCB,4182236,PDG33G0400E3RJ,400A 3POLE 600VAC 35KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,"$1,153.23",ea.,,05/21/25,,,,$0.00,
GLA,MCCB,4130113,PDG13C0100TFFJ,100A 3POLE 18KA@480V,$197.59,ea.,,05/21/25,,*used for 65A motor in Ragged Branch panel,,$0.00,
GLA,MCCB,4002438,PDG12XHMS307,SHAFT 12INCH (307MM) FOR PDG1 & PDG2 MCCB,$8.45,ea.,MCCB ACCESSORIES,05/21/25,,,1,$8.45,
GLA,MCCB,4189021,PDG2XHMDE,DOOR HANDLE RED/YELLOW LOCKABLE WITH MECHANISM FOR PDG2,$49.25,ea.,,05/21/25,,,1,$49.25,
GLA,MCCB,4189023,PDG34XHMS245,SHAFT 9INCH (245MM) FOR PDG3 & PDG4 MCCB,$10.56,ea.,,05/21/25,,,,$0.00,
GLA,MCCB,4189022,PDG3XHMDE,DOOR HANDLE RED/YELLOW LOCKABLE WITH MECHANISM FOR PDG3 MCCB,$59.03,ea.,,05/21/25,,,,$0.00,
GLA,MCCB,4187244,PDG2X3TA2256W,TERMINAL DISTRIBUTION LUG 225A (6) 14-6AWG FOR PDG2 (Pack of 3),$80.65,3PCS,,05/21/25,4,Mounting Torque 35 IN-LB (25IN-LB for 6 Wire Terminals),1,$80.65,
GLA,MCCB,4192390,PDG3X3TA4006W,TERMINAL DISTRIBUTION LUG 400A (6)14-3AWG FOR PDG3 (Pack of 3),$87.31,3PCS,,05/21/25,1,Mounting Torque 72-96 IN-LB (25IN-LB for 6 Wire Terminals),,$0.00,
GLA,MCCB,2452144,JGE3250FAG,JGE3250FAG C-H 3P 250 Amp 25KA Fix Therm / Adj Mag Brkr w/ L/L Steel Coll,$535.51,ea.,"""DUMB"" MAIN CIRCUIT BREAKER
(MCCB)",05/21/25,,"Terminal Torque 250 IN-LB w/TA250FJ, or 180 IN-LB w/T250FJ",,$0.00,
GLA,MCCB,2698941,LGE3300FAG,LGE3300FAG C-H LGE 3 POLE 300 AMP FIXED THERMAL ADJUSTABLE MAG BREAKER 78211614238,"$1,825.35",ea.,,01/22/24,,,,$0.00,
GLA,MCCB,3710030,LGE3350FAG,"LGE3350FAG CH SERIES G, LG-FRAME MOLDED CASE CIRCUIT BREAKER","$1,825.35",ea.,,01/22/24,,,,$0.00,
GLA,MCCB,2452156,LGE3400FAG,LGE3400FAG C-H LGE 3 pole 400 Amp Fixed thermal adjustable mag breaker 78211614240,"$1,825.35",ea.,,01/22/24,,,,$0.00,
